Axiom Name,Manchester Syntax Axioms
rice orange leaf phytoplasma disease,rice orange leaf phytoplasma disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000095) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000023))
rice orange leaf phytoplasma disease,rice orange leaf phytoplasma disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000106) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000024))
rice orange leaf phytoplasma disease,rice orange leaf phytoplasma disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000094 & RiceDO-Version2.RiceDO_000097) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000016))
rice orange leaf phytoplasma disease,rice orange leaf phytoplasma disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice dirty panicle fungal disease,rice dirty panicle fungal disease has obo.PDO_0000081
rice dirty panicle fungal disease,rice dirty panicle fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000049 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000053 & RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000066))
rice dirty panicle fungal disease,rice dirty panicle fungal disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice gall dwarf virus disease,rice gall dwarf virus disease has obo.PDO_0000007
rice gall dwarf virus disease,rice gall dwarf virus disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000036)
rice gall dwarf virus disease,rice gall dwarf virus disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000068) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000109) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000016))
rice gall dwarf virus disease,rice gall dwarf virus disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000070 & RiceDO-Version2.RiceDO_000076) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000104) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000135 & RiceDO-Version2.RiceDO_000141))
rice gall dwarf virus disease,rice gall dwarf virus disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000106) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000024))
rice gall dwarf virus disease,rice gall dwarf virus disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000113) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000142))
rice gall dwarf virus disease,rice gall dwarf virus disease has RiceDO-Version2.RiceDO_000148.some(RiceDO-Version2.RiceDO_000125)
rice gall dwarf virus disease,rice gall dwarf virus disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
